lp.last_stop.arrival_time,lp.last_stop.departure_time,lp.last_stop.id,lp.last_stop.sequence,lp.next_stop.arrival_time,lp.next_stop.departure_time,lp.next_stop.id,lp.next_stop.sequence,lp.delay.actual,lp.delay.last_stop_arrival,lp.delay.last_stop_departure,lp.bearing,lp.is_canceled,lp.origin_timestamp,lp.shape_dist_traveled,lp.speed,lp.state_position,lp.tracking,pr.gtfs.route_id,pr.gtfs.route_short_name,pr.gtfs.route_type,pr.gtfs.trip_headsign,pr.gtfs.trip_id,pr.gtfs.trip_short_name,pr.vehicle_type.description_cs,pr.vehicle_type.description_en,pr.vehicle_type.id,pr.cis.line_id,pr.cis.trip_number,pr.agency_name,pr.origin_route_name,pr.sequence_id,pr.start_timestamp,pr.vehicle_registration_number,pr.wheelchair_accessible,pr.air_conditioned,coordinates
2023-01-27T15:26:00+01:00,2023-01-27T15:26:00+01:00,U809Z2P,18,2023-01-27T15:28:00+01:00,2023-01-27T15:28:00+01:00,U483Z1P,19,110,71,110,0,,2023-01-27T15:27:50+01:00,8.794,,on_track,True,L9,9,0,Spojovací,9_10403_221227,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",9,18,2023-01-27T15:03:00+01:00,9419,True,,['14.40465' '50.08054']
2023-01-27T15:27:00+01:00,2023-01-27T15:27:00+01:00,U118Z2P,13,2023-01-27T15:28:00+01:00,2023-01-27T15:28:00+01:00,U515Z2P,14,-5,-5,,88,,2023-01-27T15:26:55+01:00,4.878,,at_stop,True,L13,13,0,Vozovna Žižkov,13_5460_230103,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",99,65,2023-01-27T15:10:00+01:00,8236,False,,['14.4618' '50.07788']
2023-01-27T15:23:00+01:00,2023-01-27T15:23:00+01:00,U142Z1P,24,2023-01-27T15:25:00+01:00,2023-01-27T15:25:00+01:00,U480Z4P,25,197,143,197,287,,2023-01-27T15:26:17+01:00,9.869,,on_track,True,L26,26,0,Divoká Šárka,26_5122_230103,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",26,6,2023-01-27T14:54:00+01:00,9293,True,,['14.43511' '50.08608']
2023-01-27T15:21:00+01:00,2023-01-27T15:21:00+01:00,U70Z2P,27,2023-01-27T15:24:00+01:00,2023-01-27T15:24:00+01:00,U1071Z10P,28,321,291,321,90,,2023-01-27T15:26:21+01:00,11.67,,on_track,True,L7,7,0,Depo Hostivař,7_8932_230103,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",7,3,2023-01-27T14:44:00+01:00,9369,True,,['14.51135' '50.07782']
2023-01-27T15:23:00+01:00,2023-01-27T15:23:00+01:00,U237Z7P,21,2023-01-27T15:26:00+01:00,2023-01-27T15:26:00+01:00,U901Z2P,22,270,270,,355,,2023-01-27T15:27:30+01:00,9.023,,at_stop,True,L7,7,0,Radlická,7_8100_221227,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",7,11,2023-01-27T14:57:00+01:00,9417,True,,['14.41418' '50.07194']
2023-01-27T15:24:00+01:00,2023-01-27T15:24:00+01:00,U361Z2P,25,2023-01-27T15:27:00+01:00,2023-01-27T15:27:00+01:00,U360Z2P,26,124,124,,0,,2023-01-27T15:26:04+01:00,9.905,,at_stop,True,L22,22,0,Vypich,22_9355_221227,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",22,22,2023-01-27T14:51:00+01:00,9332,True,,['14.40442' '50.088']
2023-01-27T15:25:00+01:00,2023-01-27T15:25:00+01:00,U583Z1P,6,2023-01-27T15:27:00+01:00,2023-01-27T15:27:00+01:00,U878Z1P,7,73,4,46,351,,2023-01-27T15:28:01+01:00,4.584,,on_track,True,L3,3,0,Kobylisy,3_4021_221227,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",3,5,2023-01-27T15:17:00+01:00,9132,True,,['14.41512' '50.06726']
2023-01-27T15:29:00+01:00,2023-01-27T15:29:00+01:00,U865Z1P,7,2023-01-27T15:30:00+01:00,2023-01-27T15:30:00+01:00,U567Z1P,8,-63,-63,,86,,2023-01-27T15:27:57+01:00,3.295,,at_stop,True,L10,10,0,Spojovací,10_6589_230103,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",10,5,2023-01-27T15:21:00+01:00,9439,True,,['14.34064' '50.06785']
2023-01-27T15:25:00+01:00,2023-01-27T15:25:00+01:00,U469Z4P,30,2023-01-27T15:26:00+01:00,2023-01-27T15:26:00+01:00,U469Z2P,31,97,76,,73,,2023-01-27T15:26:16+01:00,14.358,,at_stop,True,L9,9,0,Spojovací,9_6989_230103,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",9,14,2023-01-27T14:43:00+01:00,8234,False,,['14.46902' '50.08407']
2023-01-27T15:27:00+01:00,2023-01-27T15:27:00+01:00,U876Z4P,10,2023-01-27T15:29:00+01:00,2023-01-27T15:29:00+01:00,U522Z2P,11,66,51,,106,,2023-01-27T15:27:51+01:00,4.202,,at_stop,True,L7,7,0,Depo Hostivař,7_8575_221216,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",7,6,2023-01-27T15:14:00+01:00,8544,False,,['14.41956' '50.068']
